78, Applying textural features to the classification of HEp-2 cell patterns in IIF images., 2012, Santa Di Cataldo & Andrea Bottino & Elisa Ficarra & Enrico Macii, conf/icpr/CataldoBFM12, https://ieeexplore.ieee.org/document/6460882/
79, SARAT-a system for the recognition of Arabic printed text., 1992, Volker F. Märgner, conf/icpr/Margner92, https://doi.org/10.1109/ICPR.1992.201841
80, Semantic role-based representations in text classification., 2016, Roberta Akemi Sinoara & Rafael Geraldeli Rossi & Solange Oliveira Rezende, conf/icpr/SinoaraRR16, https://doi.org/10.1109/ICPR.2016.7899981
81, Scene text recognition with CNN classifier and WFST-based word labeling., 2016, Xinhao Liu & Takahito Kawanishi & Xiaomeng Wu & Kunio Kashino, conf/icpr/LiuKWK16, https://doi.org/10.1109/ICPR.2016.7900259
82, Multi-phase recognition of multifont photoscript Arabic text., 1990, Khaled El Gowely & Ossama El-Dessouki & Ahmed Nazif, conf/icpr/GowelyEN90, https://doi.org/10.1109/ICPR.1990.118196
83, Toward speech text recognition for comic books., 2016, Christophe Rigaud & Srikanta Pal & Jean-Christophe Burie & Jean-Marc Ogier, conf/icpr/RigaudPBO16, https://doi.org/10.1145/3011549.3011557
84, Hand-written text recognition based on a new formulation., 1992, Yifan Gong 0001 & Anne Boyer, conf/icpr/GongB92, https://doi.org/10.1109/ICPR.1992.201733
85, String-level learning of confidence transformation for Chinese handwritten text recognition., 2012, Da-Han Wang & Cheng-Lin Liu, conf/icpr/WangL12b, https://ieeexplore.ieee.org/document/6460847/
86, Context-aware learning for automatic sports highlight recognition., 2012, Bernard Ghanem & Maya Kreidieh & Marc Farra & Tianzhu Zhang, conf/icpr/GhanemKFZ12, https://ieeexplore.ieee.org/document/6460545/
87, Contextual Fisher kernels for human action recognition., 2012, Zhong Zhang 0001 & Chunheng Wang & Baihua Xiao & Wen Zhou 0002 & Shuang Liu 0001, conf/icpr/ZhangWXZL12, https://ieeexplore.ieee.org/document/6460165/
88, 3D Shape Context and Distance Transform for action recognition., 2008, Matthias Grundmann & Franziska Meier & Irfan A. Essa, conf/icpr/GrundmannME08, https://doi.org/10.1109/ICPR.2008.4761435
89, World image matching as a technique for degraded text recognition., 1992, Jonathan J. Hull & Siamak Khoubyari & Tin Kam Ho, conf/icpr/HullKH92, https://doi.org/10.1109/ICPR.1992.201864
90, Context-aware horror video scene recognition via cost-sensitive sparse coding., 2012, Xinmiao Ding & Bing Li 0001 & Weiming Hu & Weihua Xiong & Zhenchong Wang, conf/icpr/DingLHXW12, https://ieeexplore.ieee.org/document/6460527/
91, A novel text structure feature extractor for Chinese scene text detection and recognition., 2016, Xiaohang Ren & Kai Chen 0006 & Xiaokang Yang & Yi Zhou 0003 & Jianhua He & Jun Sun 0005, conf/icpr/Ren0YZH016, https://doi.org/10.1109/ICPR.2016.7900156
92, A quad tree based method for blurred and non-blurred video text frames classification through quality metrics., 2016, Vijeta Khare & Palaiahnakote Shivakumara & Ahlad Kumar & Chee Seng Chan & Tong Lu & Michael Blumenstein, conf/icpr/KhareSKCLB16, https://doi.org/10.1109/ICPR.2016.7900263
93, Screen-rendered text images recognition using a deep residual network based segmentation-free method., 2018, Xin Xu 0007 & Jun Zhou & Hong Zhang 0022, conf/icpr/XuZZ18, https://doi.org/10.1109/ICPR.2018.8545678
94, Integrating word level knowledge in text recognition., 1990, Subodh Harmalkar & R. M. K. Sinha, conf/icpr/HarmalkarS90, https://doi.org/10.1109/ICPR.1990.118211
95, Using web search engines to improve text recognition., 2008, Michael Donoser & Horst Bischof & Silke Wagner, conf/icpr/DonoserBW08, https://doi.org/10.1109/ICPR.2008.4761930
96, A new edge-based text verification approach for video., 2008, Jing Zhang 0053 & Dmitry B. Goldgof & Rangachar Kasturi, conf/icpr/ZhangGK08, https://doi.org/10.1109/ICPR.2008.4761933
97, Fully convolutional recurrent network for handwritten Chinese text recognition., 2016, Zecheng Xie & Zenghui Sun & Lianwen Jin & Ziyong Feng & Shuye Zhang, conf/icpr/XieSJFZ16, https://doi.org/10.1109/ICPR.2016.7900261
98, A system for the off-line recognition of handwritten text., 1994, Thomas M. Breuel, conf/icpr/Breuel94, https://doi.org/10.1109/ICPR.1994.576889
99, Character extraction in web image for text recognition., 2012, Bolan Su & Shijian Lu & Trung Quy Phan & Chew Lim Tan, conf/icpr/SuLPT12, https://ieeexplore.ieee.org/document/6460806/
100, Connected and degraded text recognition using hidden Markov model., 1992, Chinmoy B. Bose & Shyh-shiaw Kuo, conf/icpr/BoseK92, https://doi.org/10.1109/ICPR.1992.201734
101, Deep neural network based hidden Markov model for offline handwritten Chinese text recognition., 2016, Jun Du & Zi-Rui Wang & Jian-Fang Zhai & Jin-Shui Hu, conf/icpr/DuWZH16, https://doi.org/10.1109/ICPR.2016.7900164
102, Early feature stream integration versus decision level combination in a multiple classifier system for text line recognition., 2006, Roman Bertolami & Horst Bunke, conf/icpr/BertolamiB06, https://doi.org/10.1109/ICPR.2006.466
103, How much handwritten text is needed for text-independent writer verification and identification., 2008, Axel Brink & Marius Bulacu & Lambert Schomaker, conf/icpr/BrinkBS08, https://doi.org/10.1109/ICPR.2008.4761908
104, A discriminative semi-Markov model for robust scene text recognition., 2008, Jerod J. Weinman & Erik G. Learned-Miller & Allen R. Hanson, conf/icpr/WeinmanLH08, https://doi.org/10.1109/ICPR.2008.4761818
105, Term relevance dependency model for text classification., 2012, Meng-Sung Wu & Hsin-Min Wang, conf/icpr/WuW12, https://ieeexplore.ieee.org/document/6460319/
106, Omnifont recognition of text using topological recognition techniques., 1992, P. De Muelenaere & M. Dauw & J. D. Legat, conf/icpr/MuelenaereDL92, https://doi.org/10.1109/ICPR.1992.201804
107, Aligning Bags of Shape Contexts for Blurred Shape Model based symbol classification., 2012, Sebastiano Battiato & Giovanni Maria Farinella & Oliver Giudice & Giovanni Puglisi, conf/icpr/BattiatoFGP12, https://ieeexplore.ieee.org/document/6460451/
108, End-to-end text recognition with convolutional neural networks., 2012, Tao Wang & David J. Wu & Adam Coates & Andrew Y. Ng, conf/icpr/WangWCN12, https://ieeexplore.ieee.org/document/6460871/
109, Lexicon-based offline recognition of Amharic words in unconstrained handwritten text., 2008, Yaregal Assabie & Josef Bigün, conf/icpr/AssabieB08, https://doi.org/10.1109/ICPR.2008.4761145
110, Video scene text frames categorization for text detection and recognition., 2016, Longfei Qin & Palaiahnakote Shivakumara & Tong Lu & Umapada Pal 0001 & Chew Lim Tan, conf/icpr/QinSLPT16, https://doi.org/10.1109/ICPR.2016.7900241
111, Handwritten Arabic text recognition using Deep Belief Networks., 2012, Utkarsh Porwal & Yingbo Zhou & Venu Govindaraju, conf/icpr/PorwalZG12, https://ieeexplore.ieee.org/document/6460132/
112, Bootstrapping text recognition from stop words., 1998, Tin Kam Ho, conf/icpr/Ho98a, https://doi.org/10.1109/ICPR.1998.711216
113, A hidden Markov model for language syntax in text recognition., 1992, Jonathan J. Hull, conf/icpr/Hull92, https://doi.org/10.1109/ICPR.1992.201736
114, Generalized LARS as an effective feature selection tool for text classification with SVMs., 2005, S. Sathiya Keerthi, conf/icml/Keerthi05, https://doi.org/10.1145/1102351.1102404
115, A pitfall and solution in multi-class feature selection for text classification., 2004, George Forman, conf/icml/Forman04, https://doi.org/10.1145/1015330.1015356
